"Frequency";"Verification test [FTB-101]" (Magnitude (dB));"H1-X1 [open ] TAP-1" (Magnitude (dB));"H2-X2 [open ] TAP-1" (Magnitude (dB));"H3-X3 [open ] TAP-1" (Magnitude (dB));" X1-H0X0 [open] TAP-1" (Magnitude (dB));"X2-H0X0  [open] TAP-1" (Magnitude (dB));"X3-X0H0 [open] TAP-1" (Magnitude (dB));"Y1-Y3  [ open] TAP-1" (Magnitude (dB));"Y2-Y1 [open] TAP-1" (Magnitude (dB));"Y3-Y2 [ open ] TAP-1" (Magnitude (dB));"H1-X0H0 [short X1-X2-X3] TAP-1" (Magnitude (dB));"H2-X0H0 [short X1-X2-X3 ] TAP-1" (Magnitude (dB));"H3-H0X0 [short X1-X2-X3 ] TAP-1" (Magnitude (dB));"H1-H0X0 [short Y1-Y2-Y3 ] TAP-1" (Magnitude (dB));"H2-H0X0 [short Y1-Y2-Y3 ] TAP-1" (Magnitude (dB));"H3-H0X0 [short Y1-Y2-Y3 ] TAP-1" (Magnitude (dB));"X1-H0X0 [short Y1-Y2-Y3] TAP-1" (Magnitude (dB));"X2-H0X0 [short Y1-Y2-Y3, ] TAP-1" (Magnitude (dB));"X3-X0H0 [short Y1-Y2-Y3 ] TAP-1" (Magnitude (dB));"Verification test [FTB-101] (1)" (Magnitude (dB));"X3-X0H0 [short Y1-Y2-Y3 ] TAP-1 (1)" (Magnitude (dB))
76,042503;-0,033689;-46,761817;-49,556803;-46,757391;-45,758376;-48,130823;-45,677027;-23,665790;-25,865030;-24,181861;-12,139874;-12,090082;-12,210476;-17,631994;-17,511024;-17,537805;-5,189272;-4,138447;-42,157529;-0,032825;-4,282474
79,628098;-0,034020;-47,460450;-50,020288;-47,203141;-46,133007;-48,789577;-46,120417;-24,057988;-26,281960;-24,547127;-12,514494;-12,465177;-12,584966;-18,011429;-17,903364;-17,917635;-5,378302;-4,371743;-42,604796;-0,033191;-4,503838
83,376701;-0,034211;-48,017476;-50,784087;-47,833266;-46,613625;-49,203254;-46,576876;-24,442956;-26,706427;-24,905544;-12,889246;-12,838332;-12,960365;-18,392305;-18,281351;-18,303400;-5,573897;-4,613118;-43,041912;-0,033087;-4,732848
87,311501;-0,033950;-48,575772;-51,597286;-48,489754;-47,097905;-49,645528;-47,051128;-24,851123;-27,148771;-25,284973;-13,265923;-13,216618;-13,338071;-18,778644;-18,671916;-18,690124;-5,780214;-4,863886;-43,492802;-0,033174;-4,971539
91,409302;-0,033514;-49,115786;-52,425031;-49,126957;-47,593197;-50,187601;-47,551575;-25,264312;-27,613144;-25,691951;-13,641866;-13,594083;-13,715448;-19,164964;-19,057074;-19,072517;-5,994322;-5,120779;-43,941024;-0,032563;-5,216832
95,716698;-0,034482;-49,958480;-53,127929;-49,742978;-48,013978;-50,750722;-48,002251;-25,692788;-28,090230;-26,093606;-14,024336;-13,974277;-14,096974;-19,549205;-19,449991;-19,463780;-6,219118;-5,388327;-44,397126;-0,033357;-5,472694
100,234001;-0,033723;-50,493231;-54,182621;-50,536949;-48,587274;-51,185722;-48,508541;-26,139204;-28,580133;-26,519522;-14,404061;-14,355581;-14,477936;-19,937082;-19,840779;-19,853666;-6,451803;-5,663129;-44,857669;-0,032380;-5,736676
104,959999;-0,033479;-51,123011;-55,377952;-51,346963;-49,130509;-51,686747;-49,037496;-26,595584;-29,106017;-26,977775;-14,786745;-14,740637;-14,861991;-20,329504;-20,228598;-20,239886;-6,693822;-5,946152;-45,323765;-0,032337;-6,008691
109,918999;-0,033584;-52,039915;-56,670036;-52,223169;-49,603939;-52,192568;-49,550828;-27,081715;-29,654920;-27,440482;-15,173903;-15,124362;-15,248522;-20,718128;-20,625952;-20,634264;-6,945097;-6,237515;-45,825720;-0,032450;-6,289411
115,087997;-0,033453;-53,081122;-57,371091;-52,909303;-50,060660;-52,981014;-50,043860;-27,586725;-30,207017;-27,928063;-15,558631;-15,509857;-15,631968;-21,104347;-21,018965;-21,026597;-7,204395;-6,533738;-46,315466;-0,032729;-6,575895
120,513000;-0,033523;-53,813700;-58,942813;-53,920709;-50,690321;-53,561034;-50,610806;-28,098170;-30,810280;-28,444261;-15,945821;-15,896292;-16,019550;-21,496523;-21,408035;-21,414667;-7,471447;-6,837711;-46,806277;-0,032441;-6,870695
